DATA_BASE;FAIXA_DESENROLA;UNIDADE_FEDERACAO;COD_CONGLOMERADO_FINANCEIRO;NOME_CONGLOMERADO_FINANCEIRO;NUMERO_OPERACOES;VOLUME_OPERACOES
202309;2;AC;49906;BB;143;1424098,33
202309;2;AC;10045;BRADESCO;16;110040,84
202309;2;AC;49944;BTG PACTUAL;7;37788,79
202309;2;AC;51626;CAIXA ECONÔMICA FEDERAL;83;248219,50
202309;2;AC;51884;INTER;5;16763,18
202309;2;AC;10069;ITAU;157;340491,06
202309;2;AC;30379;SANTANDER;236;1032532,84
202309;2;AC;51011;VOTORANTIM;18;66783,25
202309;2;AL;49906;BB;367;1916288,23
202309;2;AL;13009717;BCO DO EST. DE SE S.A.;1;3362,67
202309;2;AL;10045;BRADESCO;107;521773,67
202309;2;AL;49944;BTG PACTUAL;21;132834,28
202309;2;AL;51626;CAIXA ECONÔMICA FEDERAL;311;692604,38
202309;2;AL;51884;INTER;35;134482,05
202309;2;AL;10069;ITAU;1372;3003977,03
202309;2;AL;30379;SANTANDER;1279;4911064,85
202309;2;AL;51011;VOTORANTIM;45;144950,95
202309;2;AM;49906;BB;312;2518840,90
202309;2;AM;10045;BRADESCO;374;2503918,16
202309;2;AM;49944;BTG PACTUAL;22;154937,73
202309;2;AM;51626;CAIXA ECONÔMICA FEDERAL;227;447596,42
202309;2;AM;51884;INTER;25;89143,16
202309;2;AM;10069;ITAU;1322;3177259,71
202309;2;AM;30379;SANTANDER;2063;8737605,61
202309;2;AM;51011;VOTORANTIM;61;594277,10
202309;2;AP;49906;BB;227;2082899,12
202309;2;AP;10045;BRADESCO;19;188133,01
202309;2;AP;49944;BTG PACTUAL;6;34749,99
202309;2;AP;51626;CAIXA ECONÔMICA FEDERAL;67;164722,90
202309;2;AP;51884;INTER;13;47295,97
202309;2;AP;10069;ITAU;199;473020,22
202309;2;AP;30379;SANTANDER;423;1518272,74
202309;2;AP;51011;VOTORANTIM;11;59548,56
